Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,IGN_title,IGN_year,IGN_score,IGN_source,GS_title,GS_year,GS_review,GS_metacritic,GS_user,GS_source,Gs_source
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,Gran Turismo 3 A-spec,,9,https://ca.ign.com/articles/2001/08/07/gran-turismo-3-a-spec,Gran Turismo 3: A-Spec,2001,9.4,95,8.9,https://www.gamespot.com/gran-turismo-3-a-spec/,
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,,,,,Call of Duty: Modern Warfare 3,2011,8.5,78,7.2,https://www.gamespot.com/call-of-duty-modern-warfare-3/,
Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,,,,,,Pokemon Yellow: Special Pikachu Edition,1999,10,https://ca.ign.com/games/pokemon-yellow-special-pikachu-edition/gb-12045,,,,,,,
Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,6.03,5.86,0.36,2.38,14.63,,,,,,,,,,,Call of Duty: Black Ops 3,2015,8,73,6.1,https://www.gamespot.com/call-of-duty-black-ops-iii/,
Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,Call of Duty: Black Ops,2010,8.5,https://ca.ign.com/games/call-of-duty-black-ops/ps3-14349500,,,,,,,
Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.28,4.19,4.35,0.78,14.6,,,,,,,,,,,,,,,,,
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0,Treyarch,M,Call of Duty: Black Ops II,2012,9.3,https://ca.ign.com/games/call-of-duty-black-ops-ii/pc-126314,Call of Duty: Black Ops II,2012,,74,7,https://www.gamespot.com/call-of-duty-black-ops-ii/,
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,Call of Duty: Black Ops II,2012,9.3,https://ca.ign.com/games/call-of-duty-black-ops-ii/pc-126314,Call of Duty: Black Ops II,2012,,74,7,https://www.gamespot.com/call-of-duty-black-ops-ii/,
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,,,,,Call of Duty: Modern Warfare 2,2009,8.5,86,8.3,https://www.gamespot.com/call-of-duty-modern-warfare-2/,
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,,,,,Call of Duty: Modern Warfare 3,2011,8.5,78,7.2,https://www.gamespot.com/call-of-duty-modern-warfare-3/,
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0,DMA Design,M,Grand Theft Auto III,,9,https://ca.ign.com/articles/2001/10/22/grand-theft-auto-iii-3,Grand Theft Auto III,2001,9.6,97,9,https://www.gamespot.com/grand-theft-auto-iii/,
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,Super Smash Bros. Brawl,2008,9.5,https://ca.ign.com/games/super-smash-bros-brawl/wii-748545,,,,,,,
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,,,,,Mario Kart 7,2011,8,85,8.5,https://www.gamespot.com/mario-kart-7/,
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,Call of Duty: Black Ops,2010,8.5,https://ca.ign.com/games/call-of-duty-black-ops/ps3-14349500,,,,,,,
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,Grand Theft Auto V,2013,10,https://ca.ign.com/games/grand-theft-auto-v/xbox-360-20587,Grand Theft Auto V,2013,9,96,9,https://www.gamespot.com/grand-theft-auto-v/,
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0,Nintendo,E,,,,,Animal Crossing: Wild World,2005,8.4,86,8.8,https://www.gamespot.com/animal-crossing-wild-world/,
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,Halo 3,2007,9.5,https://ca.ign.com/games/halo-3/xbox-360-734817,Halo 3,2007,9.5,94,8.8,https://www.gamespot.com/halo-3/,
Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,,,,,,,,Super Mario 64,1996,9.4,94,9,https://www.gamespot.com/super-mario-64/,
